199996
0 1 2
36945 90599 61190
19994 36945 92144
36945 54945 92144
64816 36945 61190
51459 68488 246
21558 52642 19699
20949 52642 48663
52642 21558 48663
10834 91143 85754
91143 10834 73322
98692 60533 85754
37185 60533 98692
60533 71825 85754
60533 37185 48663
39527 60533 48663
71825 60533 39527
5396 65404 3926
31493 62797 98692
91143 31493 85754
31493 98692 85754
31493 91143 77800
31493 77800 1
90708 31493 1
44317 31493 90708
62797 31493 44317
87553 20949 91318
52642 87553 19699
87553 52642 20949
87016 62797 44317
18418 64656 54230
56899 61871 66214
28226 56899 46592
88747 44317 90708
24609 88747 90708
88747 5396 44317
76563 24609 90708
19647 42464 47411
36463 18123 39352
99614 92144 16985
99614 19994 92144
90599 99614 18195
99614 90599 19994
18123 3395 15472
76232 824 39352
11736 97457 25922
8139 51448 72718
51448 8139 96872
48834 33044 76533
8139 36071 96872
36071 48834 96872
36071 8139 72718
48834 27062 96872
60725 3479 93517
16746 69515 0
42605 47731 30280
90453 82402 10110
20160 75592 63947
48795 28619 85090
2189 48795 85090
12043 28619 63947
69979 23144 27462
90101 69979 27462
68241 75851 70476
72189 83119 81167
94649 72189 81167
63945 30691 61337
40502 82200 83982
82200 38027 83982
40058 16261 43667
65895 40058 43667
65895 68241 70476
68241 65895 43667
63177 10517 35073
36895 57027 89142
23041 36895 89142
22593 68241 43667
22593 57027 36895
23041 22593 36895
75851 64927 70476
98666 50492 89952
35995 18552 99609
51876 47817 41305
44083 43016 53413
96282 15111 79764
68725 68662 63861
68662 68725 78203
68662 78203 29533
37258 68662 29533
68662 18275 63861
18275 37258 77673
18275 68662 37258
62967 16786 77673
16786 18275 77673
18275 16786 89502
71078 66165 37894
71078 97613 66165
68725 73218 78203
99958 34113 38403
58604 87805 42569
19953 46284 1
46284 59594 1
62383 76384 48825
77049 28734 63090
88990 75276 63090
36619 38293 57376
35226 34398 57376
34398 36619 57376
66008 47604 49588
2117 66008 49588
50041 69079 60259
36828 81894 413
61898 50872 74797
7791 24282 58163
7791 22253 24282
22253 63163 66556
63163 29707 66556
29707 63163 79928
7791 63163 22253
11155 16448 58163
16448 7791 58163
79708 84898 67993
61756 79708 64210
79708 61756 29707
24283 75773 52818
59872 34038 50423
75773 59872 50423
59872 75773 24283
52986 24283 52818
28805 52986 61754
24283 52986 0
52986 28805 0
45437 69963 90382
8898 16278 67503
16278 8898 46257
8898 11407 46257
12554 53232 67691
22508 12554 0
12554 67691 0
16278 27742 67503
53232 5337 67691
6273 24282 66556
61756 6273 66556
96575 3174 79448
3174 96575 22508
3174 88154 79448
21230 22522 73097
49317 45249 42465
45249 49317 73097
39780 21230 69745
39780 81981 73578
37106 57797 66344
76521 38343 21020
65119 76521 21020
76521 65119 37148
89862 37106 52675
37106 89862 57797
93338 91826 7912
12433 21080 7700
32414 9831 66344
37106 47538 52675
4374 8982 28620
56742 8422 50423
56742 88666 96966
68960 88666 24932
28805 53703 0
2845 56868 65208
18202 10202 94063
964 19097 33393
15109 38034 65429
52923 15109 65429
15109 64177 77672
52923 64177 15109
32698 38034 15109
12250 32698 15109
78314 38826 34475
41515 85177 40809
20003 53835 91350
41796 48739 64057
48739 41796 81459
41796 75552 81459
16159 44775 12221
16159 83509 44775
16159 12221 52290
35649 20003 40404
53835 35649 91540
35649 53835 20003
28603 38166 40404
81498 38166 28603
35541 9759 22940
44775 47576 86712
47576 91614 86712
95659 76488 95683
76488 57227 95683
60550 75464 43903
51 27052 80497
82860 45266 0
67726 34207 60374
43572 89111 11804
33085 89111 43572
11804 89111 45649
81711 86425 40340
42917 81711 40340
81711 42917 51308
40340 74172 90623
4757 17483 52858
17483 8770 52858
62132 61398 8770
17483 62132 8770
96415 81943 87903
96390 90690 24769
5063 91538 25913
91538 5063 44050
91538 7568 25913
57855 25952 57849
69637 5063 25913
69637 25952 5063
25952 69637 57849
7568 25870 25913
85656 57855 57849
72469 80631 62995
72469 2299 80631
47462 72469 62995
98897 73665 32438
98666 56647 58193
72094 56647 98666
84000 7673 99604
19018 17201 13505
20928 17201 18774
17201 20928 13505
5855 12542 58894
4842 5855 82504
94649 22594 3131
15029 55082 13125
80689 43633 70778
40995 80689 52426
52426 69306 88281
69306 52426 17563
12006 2165 78125
72345 65713 15460
65713 72345 78125
12006 28770 92983
35707 26056 25597
26056 24824 62995
88119 28770 12006
8119 2003 52858
2003 8119 89668
66207 40502 83982
48024 84737 83945
18850 4757 29414
65345 72345 15460
33701 14443 97596
14443 33701 54817
55081 33701 97596
55081 11696 33701
28291 56167 11696
56167 38628 54817
11696 56167 54817
55081 34339 11696
34339 55081 97596
34339 15029 13125
37034 6530 32374
77292 46179 68406
46179 5388 84594
2803 71077 59374
98671 55401 68406
55401 77292 68406
77292 55401 59374
73889 3890 27238
92654 21102 53936
3890 92654 53936
29276 11832 12839
11832 29276 90072
4594 43668 22360
60046 56779 53936
56779 60046 69471
93458 60046 53936
69471 60046 59466
60046 93458 59466
56779 30330 53936
30330 3890 53936
30330 56779 93455
55410 83501 67995
83501 90635 67995
83501 55410 96028
62176 83501 74582
83501 62176 90635
13956 62176 74582
94210 62176 13956
90635 62176 66703
62176 94210 66703
94210 12081 66703
73600 94210 23774
73600 4536 45077
4536 73600 23774
12081 73600 45077
73600 12081 94210
94373 63977 12837
68515 87086 25279
87086 94373 25279
87086 69471 59466
87086 68515 69471
63977 87086 59466
87086 63977 94373
1388 94373 12837
4536 1388 12837
94373 1388 25279
1388 4536 25279
36417 64516 23610
52552 93458 21102
93458 52552 59466
52552 63977 59466
31154 92654 8328
59574 95471 12378
26596 51406 68720
30052 64034 14203
77931 99395 73674
51598 4594 22360
51598 17229 64787
5978 77368 57590
97276 62671 91016
47252 97276 91016
97276 29824 62671
73490 76092 34128
62671 79606 91016
55902 88259 10810
88259 55902 97871
360 87961 13242
88259 360 10810
96375 87961 9982
93226 96375 9982
84615 62883 19402
84615 70096 51460
64064 83572 23616
21578 64064 23616
64064 8657 83572
8657 64064 25721
8657 54610 79207
99158 54610 25721
54610 8657 25721
53850 67033 6531
7225 59957 35781
59957 18717 97871
7225 18717 59957
31266 18717 76847
18717 7225 76847
4919 4296 25956
4769 80670 98273
55180 4919 25956
22311 13378 73154
85205 60426 73275
69373 88994 47399
59170 84425 1843
76381 54772 71779
88553 77195 37910
25549 3616 33124
35769 24870 79314
49005 18476 61024
18476 49005 43856
30909 58412 16366
15905 68552 69260
25665 23240 46424
29023 25665 46424
59708 45391 47658
47260 71597 25187
67234 47260 25187
47260 67234 45391
59708 47260 45391
47260 59708 71597
73630 55418 41064
55418 56934 41064
56934 55418 67234
67234 55418 54720
55418 73630 54720
76508 64134 76531
80431 83505 60611
76922 67779 45332
40764 85360 78129
40764 40024 81462
85360 40764 81462
14961 2290 40024
2243 37744 24755
94052 28939 14503
88730 19169 75283
61638 95660 72767
96116 23199 56892
43080 96116 56892
23199 96116 15394
96116 43080 15394
72552 20611 91674
20611 72552 12276
45 12276 3526
61460 76505 95553
76505 4645 95553
4645 76505 48060
81130 4645 48060
82076 22684 26810
28324 88203 30313
36542 10699 50637
10699 36542 91700
86114 30977 83122
30977 86114 4569
21786 3942 83352
43080 10984 84672
94200 48406 47658
48406 27077 47658
27077 42223 47658
91056 10158 84237
19855 68414 30554
96976 19430 17118
10158 59903 84237
64692 49043 60545
21997 64692 60545
14540 24910 2
49043 14540 2
86766 46498 2
56615 86766 2
38640 3058 2
93291 60582 85469
37313 93291 85469
14460 48686 40050
52061 15167 62276
16837 54442 16926
61423 54442 10091
54442 78715 10091
77851 52811 35141
52811 13123 54899
88954 39970 32459
88238 72807 92077
72807 21796 92077
6351 21796 72807
97253 97640 47195
75403 41717 2
65381 75403 2
23957 50581 29535
71537 75686 572
50904 73500 69098
50904 8748 45935
30778 98756 1
40663 73551 53918
83044 66629 54682
75632 8287 63547
17852 1736 77595
1559 68794 64013
68794 6632 64013
19213 86316 58876
83593 50856 5118
35936 5118 67119
52613 33684 54638
47721 27505 40053
80138 23308 62276
44981 24843 78634
24843 75481 78634
77205 12749 36456
22706 60879 79957
22706 50259 74718
50259 22706 79957
60879 23435 2227
85216 44981 14215
50032 82077 46692
54210 50032 46692
50032 54210 33513
33513 54210 28647
98861 21205 74565
7129 51981 35471
51981 7129 47223
90395 51981 47223
51981 90395 36284
57018 16263 67612
21150 57018 66040
57018 38774 16263
38774 57018 21150
35837 21150 66040
27843 52939 34041
65437 75339 42047
90395 31887 36284
16833 21289 1
74514 54130 49981
4935 54130 74514
352 99933 19121
61943 52429 74441
50061 42479 0
52429 50061 0
61943 50061 52429
50061 61943 66531
54413 50061 66531
2814 11310 25171
80103 14399 60763
8815 81846 60763
14399 8815 60763
17456 17384 42479
53042 4599 52429
64328 94305 40680
45422 5856 98609
5856 94959 98609
42653 74755 27614
74755 78687 27614
78687 74755 78200
78827 74755 22877
74755 78827 25271
23427 14162 57953
689 12076 19467
31344 11685 24142
12076 11685 31344
11685 689 24142
689 11685 12076
86715 47167 3065
47167 86715 34608
86715 59733 34608
59733 86715 19540
13771 16659 40680
16659 6698 40680
6698 16659 56617
54410 79508 56617
54410 16659 13771
16659 54410 56617
84459 6698 86880
84459 19540 0
42479 84459 0
84459 42479 40680
6698 84459 40680
44320 54645 33653
23888 62601 24466
6585 987 39081
7294 94980 54740
71470 33746 12421
33746 71470 89594
30831 14724 27027
99810 22000 38110
33974 16664 6349
84634 81191 1
84634 6349 81191
84634 1 0
84634 34090 95887
84634 33974 6349
29563 14138 32596
29563 16664 61135
84200 29563 61135
29563 84200 14138
6349 29563 32596
16664 29563 6349
94964 78721 46592
52576 27263 3295
89895 52576 3295
1229 52576 89895
65864 4951 53071
4951 65864 67380
82756 63456 34090
84634 82756 34090
82756 84634 0
65905 82756 0
82756 14250 73666
82756 65905 14250
82277 14610 95887
82277 13712 14610
34090 82277 95887
50150 58516 46224
82878 31089 39730
31426 4613 14250
36414 31426 14250
44890 72174 4613
23932 23520 37181
22988 85683 43283
39878 91623 43283
80368 93526 246
30424 40152 53
54945 74969 16985
31752 74969 54945
2853 64816 40947
78102 64413 91753
36945 78102 91753
64816 78102 36945
78102 2853 64413
2853 78102 64816
23019 42496 39527
42496 71825 39527
71825 42496 85754
42496 10834 85754
10834 57622 73322
57622 42496 23019
42496 57622 10834
98692 29477 91318
62797 29477 98692
87016 29477 62797
10331 5396 3926
5396 10331 44317
10331 87016 44317
61871 58823 68157
49577 58823 61871
58823 227 68157
227 58823 49577
5626 28226 46592
78721 5626 46592
5626 78721 35856
5626 98376 28226
98376 5626 6335
76563 85183 24609
85183 52193 24609
52193 85183 76563
52193 29115 80775
29115 52193 76563
52355 227 6335
227 52355 68157
24214 73520 28992
73520 24214 22011
94097 38194 47411
38194 94097 7881
38194 22011 47411
73520 38194 7881
38194 73520 22011
94097 30191 7881
30191 73520 7881
19647 34740 42464
24214 73157 22011
22011 73157 47411
73157 19647 47411
18123 7163 39352
7163 18123 15472
65336 31790 76862
51548 50221 29705
50221 51548 57997
64816 62084 40947
62084 25463 40947
25463 11468 39900
62084 11468 25463
31096 23064 55984
85861 824 76232
74436 69427 37137
69427 74436 51460
59957 10350 35781
10350 59957 97871
11172 6171 80586
37339 11172 80586
62554 47257 80586
6171 71831 48142
60013 71831 6171
71831 60013 22688
97457 49731 96282
53915 39471 14782
24684 11034 64010
85575 33044 48834
36071 85575 48834
26815 48834 76533
48229 26815 76533
50162 66371 64571
4810 50162 0
51448 26851 52767
26851 20774 52767
26851 51448 96872
20697 4810 52767
20774 20697 52767
20697 5457 4810
86581 76164 82409
53863 75905 16746
75905 87355 9483
75905 21097 16746
21097 75905 9483
69599 16925 8917
21097 16925 97628
16925 9483 8917
16925 21097 9483
24212 69515 16746
13255 33477 45346
39371 94425 79977
94425 39371 41043
85353 6134 31008
61698 91142 10531
56130 49216 20375
87211 38950 21663
49550 87211 21663
93536 92529 68094
93536 42605 88328
12196 93536 88328
786 52873 89145
42605 73562 47731
73562 93536 68094
93536 73562 42605
1950 75700 78137
75700 1950 31030
75700 31030 99416
5528 75700 99416
93845 64582 35393
21612 1950 2869
1950 21612 31030
21612 18040 31030
18040 21612 71410
75235 5528 99416
35867 75235 99416
25545 79079 92480
79079 25545 61916
44313 37081 29841
70028 44313 29841
30703 17968 82402
82402 17968 10110
17968 45524 10110
17968 76232 39352
45524 17968 39352
81122 90453 54775
90453 81122 82402
91738 30703 82402
90453 41812 54775
75544 68654 38779
79833 703 68943
79833 41187 703
80993 70245 78122
75592 23871 66452
23871 59864 66452
23871 20160 68844
23871 75592 20160
84959 15961 16591
88694 41729 44686
38498 81211 92814
81211 38498 28401
38498 93456 28401
25047 80993 78122
57570 25047 27840
75592 56543 63947
56543 12043 63947
12043 56543 82374
28619 94955 63947
48795 94955 28619
94955 28 63947
41729 6152 44686
27796 12043 82374
9927 91389 8812
91389 23144 8812
23144 91389 86303
58815 3759 91346
3759 58815 9927
23144 77039 8812
21095 90101 27462
4130 68718 24238
23144 77156 27462
77156 23144 86303
90101 3766 69979
18476 35800 61024
35800 1102 89142
57027 35800 89142
35800 57027 61024
85560 98218 76508
98218 64134 76508
40368 41236 1102
41236 40368 18904
40368 42401 18904
35800 40368 1102
40368 35800 18476
40368 18476 43856
42401 40368 43856
9887 49836 61337
16061 94649 3131
16061 72189 94649
16061 91993 72189
80143 38027 82200
80143 82200 49038
86539 40502 17230
86539 82200 40502
86539 17230 49038
82200 86539 49038
20884 46392 90096
2777 46392 71661
46392 52154 71661
62918 2777 71661
62918 22101 2777
41163 4130 24238
35995 80933 75459
93539 69144 83835
65067 45847 20060
45847 65067 10517
20060 45847 51971
45847 53452 51971
55358 45847 10517
45847 55358 53452
10517 68884 35073
65067 68884 10517
16261 65763 86381
92439 65763 16261
95946 63177 35073
63177 8543 10517
8543 55358 10517
34971 65895 70476
65895 34971 40058
99927 91559 79830
91559 51033 79830
51033 91559 62516
59347 32938 66916
90948 4478 30045
4478 1879 30045
50492 1879 89952
59018 35995 75459
35995 59018 18552
59018 13722 18552
42389 90009 86381
48307 68291 92413
32308 29900 90096
98619 90948 30045
22066 48307 92413
9222 32832 41305
22628 43016 44083
51024 84564 37894
22628 3461 43016
62967 96932 57575
73368 96037 85473
97560 18275 89502
80274 97560 89502
16786 47734 89502
47734 16786 62967
47734 62967 57575
47734 80274 89502
73368 47734 57575
80274 47734 73368
71078 69993 97613
69993 67169 97613
67169 69993 77673
69993 62967 77673
93886 68725 63861
61521 93886 63861
93886 61521 77917
93886 73218 68725
96604 70539 22313
26546 70539 92143
96037 73772 85473
93541 71622 61764
93541 34113 71622
20178 17226 71622
34113 20178 71622
99958 20178 34113
14351 22476 48825
44469 15222 39471
56105 21546 59390
76384 3540 12445
3540 76384 21423
56105 3540 21423
12445 86609 16630
50386 11178 47523
95052 88885 17794
95052 11178 50386
69681 19953 1
57159 21546 62383
88768 63051 48950
60459 10570 83756
10570 60459 95281
3554 12467 20819
39152 34701 63449
39152 2208 28969
11322 2208 63449
2208 39152 63449
86356 41862 19520
43557 4942 72688
71222 43557 50712
52585 31357 61240
38293 76704 57376
76704 24503 57376
51418 7130 66695
28251 36899 21976
36899 51655 21976
59494 35495 51726
35495 59494 31378
3884 19582 31378
19582 35495 31378
35495 19582 31395
51655 52451 75326
52451 51655 86588
66498 94470 12062
2746 26681 7809
62770 2746 7809
11456 53354 51751
7839 92217 91104
92217 18820 91104
98714 67808 52205
79474 56052 2117
56052 66008 2117
66008 7439 47604
79813 58806 57820
54318 77475 57820
69079 11211 90127
50041 11211 69079
46345 79543 79107
81894 27851 79107
27851 46345 79107
69079 39675 60259
39675 27851 49086
39675 38591 60259
44866 41257 12480
61898 5962 50872
94709 11155 79928
94709 16448 11155
63163 94709 79928
94709 63163 7791
16448 94709 7791
34382 79708 67993
79708 34382 64210
5103 79708 29707
79708 5103 84898
84898 5103 11817
39820 75773 50423
75773 39820 52818
30739 66199 69745
30739 21230 32580
21230 30739 69745
15302 66199 34038
69745 15302 51850
66199 15302 69745
88666 35419 24932
56742 35419 88666
66199 35419 34038
34038 35419 50423
35419 56742 50423
52986 48004 61754
17580 58163 0
58163 17580 82948
9341 17580 0
69963 51871 90382
20659 13281 65294
70004 51552 34380
49421 12554 22508
96575 49421 22508
49421 96575 79448
12554 63215 53232
63215 49421 13259
49421 63215 12554
27742 5985 67503
77048 16278 57792
77048 27742 16278
35239 1752 71601
1752 35239 64210
65283 56846 0
56846 83250 0
56846 73267 62058
73267 61756 64210
35239 73267 64210
73267 35239 62058
24743 11155 57003
11155 24743 79928
46705 59959 10045
48308 59959 46705
41275 45249 73097
45249 41275 22496
22407 22522 21230
22407 93338 7912
27011 39780 69745
39780 27011 81981
27011 69745 51850
81981 27011 51850
57797 72284 66344
25554 72284 57797
66344 72284 0
3677 89862 52675
93923 3677 52675
3677 93923 37148
65119 3677 37148
3677 65119 21020
91826 76251 7912
39126 76251 91826
13250 76251 39126
27819 35496 91826
39126 35496 69224
35496 39126 91826
55341 39780 73578
93338 55341 73578
39780 55341 21230
55341 22407 21230
22407 55341 93338
27819 17837 73578
17837 93338 73578
36070 48368 38343
76521 39099 38343
39099 36070 38343
39099 76521 37148
6840 62653 4340
69969 6396 36033
45407 21967 79008
45407 79008 66344
45796 58129 36033
45407 7536 21967
47167 74705 3065
10266 83371 0
53383 5052 98157
45796 5052 58129
91093 8982 27304
27276 91093 27304
48762 37106 66344
48762 47538 37106
9831 48762 66344
48762 9831 58454
47538 48762 58454
34406 30909 16366
34406 98502 30909
16595 34406 16366
34406 16595 98502
27512 86339 8676
90554 86339 67812
86339 27512 67812
27512 81698 67812
16494 39421 8676
39421 27512 8676
81698 39421 90805
39421 81698 27512
70261 81115 65077
78178 80678 68040
90460 78178 68040
55964 56149 30909
8982 2163 28620
9202 31434 28620
8982 25067 27304
4374 25067 8982
77134 95870 9150
7957 77134 34004
61754 38665 48798
54937 69135 83882
67185 53943 18202
32216 53943 44040
81865 67185 18202
81865 18202 94063
39246 81865 94063
56868 73671 65208
94905 2845 28998
2845 94905 56868
94905 34320 56868
91612 2845 65208
19814 39246 94063
93025 19814 94063
15429 75821 84882
75821 93025 94063
10202 75821 94063
75821 10202 84882
93676 36339 65208
36339 91612 65208
91612 36339 76370
36339 77001 76370
77001 36339 93676
62371 13914 89375
13914 62371 896
12260 66847 56437
66847 42840 56437
7450 99527 73931
99527 7450 93003
16621 7450 73931
7450 16621 3247
1752 71376 71601
71376 32566 71601
32566 71376 29049
68090 80305 97096
29678 25133 12401
25133 29678 45556
62865 50721 96384
82728 63162 98256
30501 91923 45483
19097 32747 33393
52923 74638 55578
12250 42048 32698
42048 12250 27657
48847 80593 54373
48847 84274 72064
84274 41252 61114
41252 84274 70660
43362 51799 26169
48466 41252 70660
12250 38174 27657
27678 93535 21388
38826 26726 66525
26726 27678 66525
27678 26726 93535
43362 53138 95773
18022 53138 43362
42651 53138 18022
9841 2046 98155
78314 1293 19365
1293 18022 19365
1293 42651 18022
17682 1293 78314
42651 1293 74447
1293 17682 74447
10423 78314 19365
78314 10423 38826
10423 26726 38826
68417 52923 65429
68417 74638 52923
46032 56953 41568
46032 76576 1439
46032 41568 76576
25527 96001 13167
96001 25527 53234
32195 25527 13167
25527 32195 47999
42318 34783 55578
33198 6445 72064
94391 73906 12825
31226 77924 88420
56941 10848 74218
80818 71562 10848
36616 9124 26568
11276 55190 80500
19224 7843 24507
6719 64800 28835
1432 19224 24507
64800 1432 28835
1432 64800 19224
9964 13596 81151
13596 9964 69812
51369 9964 81151
6097 98574 51627
71824 56293 8827
8451 56293 67024
8451 27777 8827
56293 8451 8827
8451 28322 27777
81113 82366 53822
90999 67461 45205
77236 81113 92646
75143 28603 48913
75143 48913 52053
21644 53835 91540
84697 21644 91540
21644 84697 83877
86425 21644 83877
8786 84697 91540
84697 8786 41905
83509 34368 41905
34368 41796 64057
41796 34368 75552
70597 70273 38166
38166 15580 51462
15580 38166 81498
64846 75143 52053
64846 81498 28603
75143 64846 28603
55907 44775 41905
55907 47576 44775
47746 48478 81162
76488 29469 44332
98631 76488 44332
98631 57227 76488
29116 84964 27389
84964 29116 75983
9870 82531 32198
51644 59170 1843
61686 95194 21058
64320 88591 62043
28804 7255 20955
88591 28804 20955
28804 88591 64320
7255 28804 3814
13676 40080 26682
75464 19360 43903
19360 75464 0
45266 19360 0
92333 5015 61103
17846 97803 67771
17846 63984 97803
88717 17846 67771
17846 88717 63984
93346 71473 33665
47825 13205 91699
97803 77455 67771
44026 91423 68416
77466 13384 18153
91256 86976 42328
27052 4582 96824
42815 17585 9283
36306 69018 85617
34207 36306 85617
64580 34207 67726
36306 64580 54868
64580 36306 34207
97407 34207 85617
76536 71653 29343
79514 11360 30047
70869 79514 30047
4983 6484 59613
54288 4983 59613
21107 24599 74407
59514 61817 68078
59514 66255 31946
59514 82682 96824
82682 59514 31946
4582 59514 96824
59514 4582 61817
59514 87258 66255
87258 59514 68078
21107 73445 61872
73445 75441 61872
7596 24171 4701
86782 43943 5357
75441 86782 61872
43943 86782 75441
86782 89663 61872
89663 86782 47148
89663 78823 21908
52484 51308 91350
81711 52484 91350
52484 81711 51308
18697 81711 91350
81711 18697 86425
18697 21644 86425
53835 18697 91350
21644 18697 53835
85671 42035 95165
74172 51318 330
51318 74172 40340
70979 51318 40340
48739 27085 64057
30143 27085 57023
32230 57023 91531
32230 30143 57023
39027 50769 42035
51318 39027 42035
39027 51318 81310
83305 68243 63997
68243 47298 63997
9732 27613 8770
27613 9732 9984
37122 27613 9984
61398 32815 8770
32815 9732 8770
32815 68243 9732
47298 32815 61398
68243 32815 47298
92896 11333 36417
2812 4211 60678
62140 9903 89890
24769 62140 60678
14369 5634 34687
33737 9903 24769
90690 33737 24769
96415 58284 96390
58284 90690 96390
58284 96415 87903
90690 58284 83305
68243 58284 87903
58284 68243 83305
51527 52292 24115
52292 98897 24115
98897 52292 73665
96201 62524 10461
73665 57693 32438
7568 52785 32438
91538 52785 7568
52785 98897 32438
67350 1879 50492
85656 29491 57855
5063 35109 44050
76856 35109 5063
51415 76856 5063
76856 51415 57855
25952 51415 5063
51415 25952 57855
84000 45037 58193
45037 98666 58193
45037 50492 98666
56647 83981 58193
83981 84000 58193
83981 56647 72094
83981 7673 84000
49963 24337 21287
49963 2165 38906
22223 49963 38906
64699 49963 21287
20554 84000 99604
24337 20554 99604
20554 45037 84000
45037 20554 8115
7673 26749 99604
24337 26749 21287
26749 24337 99604
26749 64699 21287
26749 57887 64699
55218 4842 82504
4842 55218 72094
55218 26749 7673
55218 83981 72094
83981 55218 7673
57887 55218 82504
26749 55218 57887
3944 12542 5855
4842 3944 5855
71861 2890 58894
51589 5855 58894
5855 51589 82504
51589 57887 82504
36148 74172 330
11462 36148 330
74172 36148 90623
36148 31605 90623
36148 11462 66383
55082 18821 15482
18821 36148 66383
36148 18821 31605
80689 77721 43633
77721 40995 86678
40995 77721 80689
52426 76646 17563
52108 52426 88281
52108 40995 52426
5763 92983 38906
2165 5763 38906
5763 12006 92983
5763 2165 12006
28770 60686 92983
88119 60686 28770
60686 35147 35895
60686 88119 35147
35147 96076 35895
35707 96076 35147
96076 35707 25597
36624 24824 17563
35707 36711 26056
36711 24824 26056
36711 35707 35147
24824 36711 35147
72345 7923 96752
7923 65345 73865
65345 7923 72345
48617 88119 12006
48617 12006 78125
48617 72345 96752
72345 48617 78125
53934 1904 79213
1904 53934 29552
88034 66207 83982
88034 67208 71315
72170 88034 71315
88034 72170 66207
45230 89668 48868
45230 2003 89668
2003 45230 52858
6177 53934 55743
53934 6177 29552
